depth (m),salinity (psu),temperature (deg C)
111.0,28.602519089413732,7.682113845602969
112.0,28.606216245786534,7.6807189157748965
113.0,28.610025042307313,7.679190329651471
114.0,28.61400706225542,7.677479397863861
115.0,28.618138466756527,7.675583698115358
116.0,28.622314415445324,7.673532308095749
117.0,28.626429323301103,7.671354976735797
118.0,28.630457450679415,7.669076381592213
119.0,28.63446229222116,7.666737464896184
120.0,28.63853553039936,7.664410996239306
121.0,28.642731550916004,7.662185649198675
122.0,28.647058054521217,7.660129211483422
123.0,28.651513279147643,7.658264778355548
124.0,28.656105025874048,7.656576134366018
125.0,28.66081140964311,7.655029366801749
126.0,28.66552710039778,7.653595819615249
127.0,28.67008466353566,7.65227168056503
128.0,28.674365559981595,7.651083513069175
129.0,28.67839229631381,7.650068050701732
130.0,28.68232383244903,7.649223311830138
131.0,28.686404052461796,7.648452149282838
132.0,28.6909074108955,7.647550692520197
133.0,28.696027113925773,7.646294645558509
134.0,28.701709602203728,7.644593625901587
135.0,28.707580427616282,7.642589153313278
136.0,28.713068633336313,7.640596847091958
137.0,28.717671212858797,7.638925341553311
138.0,28.721196279296567,7.637710116423801
139.0,28.72382756514804,7.636881229002318
140.0,28.72597489755185,7.636256923326343
141.0,28.72804232577807,7.635657716642013
142.0,28.730276775561826,7.634966358811995
143.0,28.732744060988196,7.6341401007782945
144.0,28.735378560839607,7.6332035442826935
145.0,28.73805059704022,7.632226573230468
146.0,28.7406355084215,7.631286411257889
147.0,28.743072850702628,7.630432352694362
148.0,28.745397386196032,7.629665782005244
149.0,28.74772670088865,7.6289365425592255
150.0,28.750201699817268,7.6281644832146505
151.0,28.75289393455761,7.627288510033933
152.0,28.75574001414092,7.626300759518713
153.0,28.75857755274909,7.625218333903184
154.0,28.76126710064767,7.6240209101163305
155.0,28.76378273618733,7.622636321534506
156.0,28.76619633306045,7.620996113963582
157.0,28.768602243515193,7.619101830308814
158.0,28.77105639210316,7.6170483498013954
159.0,28.77355886433422,7.615005587600328
160.0,28.77608331472108,7.613166546026127
161.0,28.778625852295555,7.6116503453067175
162.0,28.781212678891603,7.6103952310780425
163.0,28.783859411148683,7.609156339100675
164.0,28.786552109179766,7.6076757843256715
165.0,28.789278984961435,7.605891637834948
166.0,28.792052973675702,7.603969540278621
167.0,28.794889966041772,7.6021236029217985
168.0,28.79778096601172,7.600409766960567
169.0,28.80069462205694,7.598665360514568
170.0,28.80359828433742,7.5966236514298835
171.0,28.806468607599136,7.594113601626161
172.0,28.80928573314074,7.591190445831569
173.0,28.812030300549477,7.588069995015278
174.0,28.8146971629389,7.5849271361536506
175.0,28.817306864539866,7.581785344539983
176.0,28.819890087093068,7.578583302701109
177.0,28.822471108253794,7.575218458056591
178.0,28.82510365753233,7.571395312679231
179.0,28.827946125241112,7.566454270128184
180.0,28.83126112119638,7.559551717682458
181.0,28.835221713722916,7.550321464874821
182.0,28.839597570292156,7.539593332936748
183.0,28.843688584956972,7.5292610148407775
184.0,28.846869721354356,7.520682595803297
185.0,28.8495473792265,7.512418403191277
186.0,28.853472887997842,7.499917336507936
187.0,28.860286632207924,7.479532838006914
188.0,28.86899792929547,7.454702426827882
189.0,28.87541911031112,7.436853703064013
